"","product_code","station_number","year","month","mean_max","quality"
"199","IDCJAC0002","040214",1903,"July",20.3,"Y"
"200","IDCJAC0002","040214",1903,"August",21,"Y"
"201","IDCJAC0002","040214",1903,"September",24.1,"Y"
"202","IDCJAC0002","040214",1903,"October",24.7,"Y"
"203","IDCJAC0002","040214",1903,"November",25.8,"Y"
"204","IDCJAC0002","040214",1903,"December",30,"Y"
"205","IDCJAC0002","040214",1904,"January",29.7,"Y"
"206","IDCJAC0002","040214",1904,"February",31.4,"Y"
"207","IDCJAC0002","040214",1904,"March",28,"Y"
"208","IDCJAC0002","040214",1904,"April",24.5,"Y"
"209","IDCJAC0002","040214",1904,"May",21.9,"Y"
"210","IDCJAC0002","040214",1904,"June",19.9,"Y"
"211","IDCJAC0002","040214",1904,"July",19.8,"Y"
"212","IDCJAC0002","040214",1904,"August",22.2,"Y"
"213","IDCJAC0002","040214",1904,"September",24.8,"Y"
"214","IDCJAC0002","040214",1904,"October",26.2,"Y"
"215","IDCJAC0002","040214",1904,"November",29.9,"Y"
"216","IDCJAC0002","040214",1904,"December",29.4,"Y"
"217","IDCJAC0002","040214",1905,"January",29.6,"Y"
"218","IDCJAC0002","040214",1905,"February",29.5,"Y"
"219","IDCJAC0002","040214",1905,"March",29.5,"Y"
"220","IDCJAC0002","040214",1905,"April",25.9,"Y"
"221","IDCJAC0002","040214",1905,"May",22.9,"Y"
"222","IDCJAC0002","040214",1905,"June",21.1,"Y"
"223","IDCJAC0002","040214",1905,"July",20.2,"Y"
"224","IDCJAC0002","040214",1905,"August",22.1,"Y"
"225","IDCJAC0002","040214",1905,"September",24.7,"Y"
"226","IDCJAC0002","040214",1905,"October",24.9,"Y"
"227","IDCJAC0002","040214",1905,"November",28.8,"Y"
"228","IDCJAC0002","040214",1905,"December",29.8,"Y"
"229","IDCJAC0002","040214",1906,"January",29.4,"Y"
"230","IDCJAC0002","040214",1906,"February",28.3,"Y"
"231","IDCJAC0002","040214",1906,"March",26.8,"Y"
"232","IDCJAC0002","040214",1906,"April",27.7,"Y"
"233","IDCJAC0002","040214",1906,"May",23.7,"Y"
"234","IDCJAC0002","040214",1906,"June",21.6,"Y"
"235","IDCJAC0002","040214",1906,"July",21.5,"Y"
"236","IDCJAC0002","040214",1906,"August",22.1,"Y"
"237","IDCJAC0002","040214",1906,"September",23.2,"Y"
"238","IDCJAC0002","040214",1906,"October",25.9,"Y"
"239","IDCJAC0002","040214",1906,"November",27.6,"Y"
"240","IDCJAC0002","040214",1906,"December",28.7,"Y"
"241","IDCJAC0002","040214",1907,"January",29.1,"Y"
"242","IDCJAC0002","040214",1907,"February",29.6,"Y"
"243","IDCJAC0002","040214",1907,"March",28,"Y"
"244","IDCJAC0002","040214",1907,"April",27.6,"Y"
"245","IDCJAC0002","040214",1907,"May",23.2,"Y"
"246","IDCJAC0002","040214",1907,"June",20.5,"Y"
"247","IDCJAC0002","040214",1907,"July",20.6,"Y"
"248","IDCJAC0002","040214",1907,"August",23.1,"Y"
"249","IDCJAC0002","040214",1907,"September",25.5,"Y"
"250","IDCJAC0002","040214",1907,"October",27.7,"Y"
"251","IDCJAC0002","040214",1907,"November",26.9,"Y"
"252","IDCJAC0002","040214",1907,"December",29.2,"Y"
"253","IDCJAC0002","040214",1908,"January",28.8,"Y"
"254","IDCJAC0002","040214",1908,"February",29.9,"Y"
"255","IDCJAC0002","040214",1908,"March",28.4,"Y"
"256","IDCJAC0002","040214",1908,"April",26.1,"Y"
"257","IDCJAC0002","040214",1908,"May",23.7,"Y"
"258","IDCJAC0002","040214",1908,"June",19.5,"Y"
"259","IDCJAC0002","040214",1908,"July",20,"Y"
"260","IDCJAC0002","040214",1908,"August",20.8,"Y"
"261","IDCJAC0002","040214",1908,"September",24,"Y"
"262","IDCJAC0002","040214",1908,"October",25.9,"Y"
"263","IDCJAC0002","040214",1908,"November",27.6,"Y"
"264","IDCJAC0002","040214",1908,"December",30.7,"Y"
"265","IDCJAC0002","040214",1909,"January",29.5,"Y"
"266","IDCJAC0002","040214",1909,"February",29.3,"Y"
"267","IDCJAC0002","040214",1909,"March",28,"Y"
"268","IDCJAC0002","040214",1909,"April",26.5,"Y"
"269","IDCJAC0002","040214",1909,"May",23.9,"Y"
"270","IDCJAC0002","040214",1909,"June",21.1,"Y"
"271","IDCJAC0002","040214",1909,"July",19.4,"Y"
"272","IDCJAC0002","040214",1909,"August",21.3,"Y"
"273","IDCJAC0002","040214",1909,"September",24.2,"Y"
"274","IDCJAC0002","040214",1909,"October",27,"Y"
"275","IDCJAC0002","040214",1909,"November",28.6,"Y"
"276","IDCJAC0002","040214",1909,"December",29.6,"Y"
"277","IDCJAC0002","040214",1910,"January",29.5,"Y"
"278","IDCJAC0002","040214",1910,"February",29.3,"Y"
"279","IDCJAC0002","040214",1910,"March",26.9,"Y"
"280","IDCJAC0002","040214",1910,"April",26.2,"Y"
"281","IDCJAC0002","040214",1910,"May",24.8,"Y"
"282","IDCJAC0002","040214",1910,"June",21.2,"Y"
"283","IDCJAC0002","040214",1910,"July",20.5,"Y"
"284","IDCJAC0002","040214",1910,"August",23,"Y"
"285","IDCJAC0002","040214",1910,"September",25,"Y"
"286","IDCJAC0002","040214",1910,"October",26.3,"Y"
"287","IDCJAC0002","040214",1910,"November",27,"Y"
"288","IDCJAC0002","040214",1910,"December",30.7,"Y"
"289","IDCJAC0002","040214",1911,"January",28.8,"Y"
"290","IDCJAC0002","040214",1911,"February",27.5,"Y"
"291","IDCJAC0002","040214",1911,"March",28.2,"Y"
"292","IDCJAC0002","040214",1911,"April",27.3,"Y"
"293","IDCJAC0002","040214",1911,"May",23.3,"Y"
"294","IDCJAC0002","040214",1911,"June",21.4,"Y"
"295","IDCJAC0002","040214",1911,"July",21.3,"Y"
"296","IDCJAC0002","040214",1911,"August",21.6,"Y"
"297","IDCJAC0002","040214",1911,"September",25.1,"Y"
"298","IDCJAC0002","040214",1911,"October",25.8,"Y"
"299","IDCJAC0002","040214",1911,"November",29.5,"Y"
"300","IDCJAC0002","040214",1911,"December",33.2,"Y"
"301","IDCJAC0002","040214",1912,"January",31.4,"Y"
"302","IDCJAC0002","040214",1912,"February",31.4,"Y"
"303","IDCJAC0002","040214",1912,"March",28.8,"Y"
"304","IDCJAC0002","040214",1912,"April",27.6,"Y"
"305","IDCJAC0002","040214",1912,"May",24.7,"Y"
"306","IDCJAC0002","040214",1912,"June",21.8,"Y"
"307","IDCJAC0002","040214",1912,"July",20,"Y"
"308","IDCJAC0002","040214",1912,"August",22.4,"Y"
"309","IDCJAC0002","040214",1912,"September",26.8,"Y"
"310","IDCJAC0002","040214",1912,"October",26.7,"Y"
"311","IDCJAC0002","040214",1912,"November",28.5,"Y"
"312","IDCJAC0002","040214",1912,"December",30.4,"Y"
"313","IDCJAC0002","040214",1913,"January",28.7,"Y"
"314","IDCJAC0002","040214",1913,"February",28.9,"Y"
"315","IDCJAC0002","040214",1913,"March",28.9,"Y"
"316","IDCJAC0002","040214",1913,"April",26.4,"Y"
"317","IDCJAC0002","040214",1913,"May",21.8,"Y"
"318","IDCJAC0002","040214",1913,"June",19.5,"Y"
"319","IDCJAC0002","040214",1913,"July",20.9,"Y"
"320","IDCJAC0002","040214",1913,"August",22.5,"Y"
"321","IDCJAC0002","040214",1913,"September",24.8,"Y"
"322","IDCJAC0002","040214",1913,"October",27.5,"Y"
"323","IDCJAC0002","040214",1913,"November",30.8,"Y"
"324","IDCJAC0002","040214",1913,"December",29.8,"Y"
"325","IDCJAC0002","040214",1914,"January",31.4,"Y"
"326","IDCJAC0002","040214",1914,"February",29.4,"Y"
"327","IDCJAC0002","040214",1914,"March",28,"Y"
"328","IDCJAC0002","040214",1914,"April",29.1,"Y"
"329","IDCJAC0002","040214",1914,"May",23.3,"Y"
"330","IDCJAC0002","040214",1914,"June",20.8,"Y"
"331","IDCJAC0002","040214",1914,"July",19.5,"Y"
"332","IDCJAC0002","040214",1914,"August",22.6,"Y"
"333","IDCJAC0002","040214",1914,"September",24.8,"Y"
"334","IDCJAC0002","040214",1914,"October",25.4,"Y"
"335","IDCJAC0002","040214",1914,"November",30.1,"Y"
"336","IDCJAC0002","040214",1914,"December",30.7,"Y"
"337","IDCJAC0002","040214",1915,"January",29.8,"Y"
"338","IDCJAC0002","040214",1915,"February",30.1,"Y"
"339","IDCJAC0002","040214",1915,"March",28.8,"Y"
"340","IDCJAC0002","040214",1915,"April",27.7,"Y"
"341","IDCJAC0002","040214",1915,"May",22.8,"Y"
"342","IDCJAC0002","040214",1915,"June",21.9,"Y"
"343","IDCJAC0002","040214",1915,"July",21.2,"Y"
"344","IDCJAC0002","040214",1915,"August",22.8,"Y"
"345","IDCJAC0002","040214",1915,"September",27.4,"Y"
"346","IDCJAC0002","040214",1915,"October",28.1,"Y"
"347","IDCJAC0002","040214",1915,"November",30.6,"Y"
"348","IDCJAC0002","040214",1915,"December",28.4,"Y"
"349","IDCJAC0002","040214",1916,"January",30.5,"Y"
"350","IDCJAC0002","040214",1916,"February",30.4,"Y"
"351","IDCJAC0002","040214",1916,"March",29,"Y"
"352","IDCJAC0002","040214",1916,"April",25.6,"Y"
"353","IDCJAC0002","040214",1916,"May",23.2,"Y"
"354","IDCJAC0002","040214",1916,"June",20,"Y"
